round,failures,group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
round-10-no-strided-pressure,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 4, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0451299989742773,1.2262915087258146,,,,
round-10-no-strided-pressure,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-10-no-strided-pressure,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-11-scalar-evl,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
round-11-scalar-evl,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0151122480048456,1.0931166540392083,,,,
round-11-scalar-evl,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-11-scalar-evl,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
final-ablation-no-data-index,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1454368536403983,1.3034042388656588
final-ablation-no-data-index,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0151122480048456,1.0931166540392083,,,,
final-ablation-no-data-index,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
final-ablation-no-data-index,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
final-ablation-no-fma,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8333333333333334,0.8974358974358975,1.1530730979219586,1.3063325322658448
final-ablation-no-fma,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0151122480048456,1.0931166540392083,,,,
final-ablation-no-fma,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 4, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.5462429360570729,1.6784787361065072
final-ablation-no-fma,[],validation_informed,automatic,"{""bicg-l01"": 4, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0323424181315806,1.065730868273759,,,,
final-ablation-no-full-evl,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
final-ablation-no-full-evl,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0238970726351309,1.161080002841178,,,,
final-ablation-no-full-evl,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
final-ablation-no-full-evl,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
final-ablation-no-scalar-registers,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
final-ablation-no-scalar-registers,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 4, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0451299989742773,1.2262915087258146,,,,
final-ablation-no-scalar-registers,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
final-ablation-no-scalar-registers,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
final-xiangshan,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
final-xiangshan,[],core,automatic,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0151122480048456,1.0931166540392083,,,,
final-xiangshan,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
final-xiangshan,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
